name,scholarshipType,applicationRequired,description,quantity,preference,faculty,gender,year,disability,indigenous,race,nationality,gpa,amount,gpaBased,medalsPrizes
Drs. Douglas and Anathalie Taylor Lee Memorial Award*,In-Course,TRUE,"Two awards are given to undergraduate students who intend to pursue a career in medicine. Preference will be given to students with demonstrated financial need. Of the candidates who demonstrate the greatest financial need, preference will be given to the student with the highest academic standing.",2,"Financial need, highest academic standing",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Dryden Scholarship for Students with a Disability,In-Course,TRUE,"A $1,000 scholarship is awarded to a student with a physical disability or a learning disability in an undergraduate program in the Faculty of Education on the basis of academic performance. Preference will be given to a student with demonstrated financial need. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Education.",1,"Physical/learning disability, financial need",Education,Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Edna and Jack Marshall Indigenous Fine Arts Scholarship*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding Indigenous undergraduate students entering or continuing in the Faculty of Fine Arts.,Varies,Indigenous,Fine Arts,Not specified,Not specified,Not specified,Indigenous,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Edna Mary Wootten Scholarship*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding undergraduate students in the School of Nursing with financial need. Preference will be given to a student who is a parent. Students registered in at least 4.50 academic units are eligible for this scholarship.,Varies,"Financial need, parent",Nursing,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
"Edward ""Teddy"" Blenkinsop Scholarship",In-Course,TRUE,"A scholarship of $1,000 is awarded to an academically outstanding undergraduate student entering third or fourth year in the Faculty of Science or the Faculty of Engineering. Preference is for students with demonstrated financial need. The scholarship will be awarded to a student who is not receiving any other scholarships.",1,"Financial need, not receiving other scholarships",Science/Engineering,Not specified,03-Apr,Not specified,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Edythe Hembroff-Schleicher Scholarship*,In-Course,TRUE,"One or more scholarships are awarded to undergraduate or graduate women students registered in pre-medicine disciplines, for example Biochemistry and Microbiology, Biology or Chemistry. Preference will be given to students who have stated an intention to continue on to medical school. Approval of the graduate recipients will be made by the Graduate Admissions and Awards Committee upon the recommendation of the appropriate departments. Approval of the undergraduate recipients will be made by the Senate Committee on Awards.",Varies,Intention to pursue medical school,Pre-medicine disciplines,Woman,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Elizabeth (Betty) Valentine Prangnell Scholarship*,In-Course,TRUE,"A scholarship will be awarded to two academically outstanding undergraduate Indigenous students majoring in Visual Arts. Preference will be given to students with an interest in Indigenous visual art. If there is only one eligible undergraduate student, then a graduate student of a different gender than the undergraduate student recipient may receive the scholarship. If there are not two eligible undergraduate students, then two graduate students may receive the scholarship. Approval of the recipients will be made by either the Senate Committee on Awards or the Faculty of Graduate Studies Graduate Awards Committee upon the recommendation of the Visual Arts department.",2,"Indigenous, interest in Indigenous visual art",Visual Arts,Not specified,Not specified,Not specified,Indigenous,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Elizabeth Buckley School Award,In-Course,TRUE,One or more awards are given to undergraduate entering or continuing students with a physical disability or learning disability. Preference will be given to students with demonstrated financial need.,Varies,"Physical/learning disability, financial need",Not specified,Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Enbridge Scholarship in Engineering and Computer Science,In-Course,TRUE,"Ten scholarships of $1,000 each are awarded to academically outstanding undergraduate students continuing in the Faculty of Engineering and Computer Science who identify as Black, Indigenous or People of Colour. Preference must be given to women for at least half of these scholarships.",10,"Black/Indigenous/People of Colour, women",Engineering and Computer Science,Not specified,Not specified,Not specified,Indigenous,Black/People of Colour,Not specified,Not specified,1000,FALSE,FALSE
Engineering Students' Society Award for Community Involvement*,In-Course,TRUE,An award is given to an undergraduate student enrolled in a Faculty of Engineering degree program. Students must submit a proposal for project or idea that will benefit the quality of life for engineering students and must also have demonstrated community service either at UVic or with another non-profit or community group. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Engineering. Applicants must complete the online application by May 31.,1,Community service,Engineering,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Engineers and Geoscientists BC Municipal Engineers Division Award,In-Course,TRUE,"An award of $1,000 is given to an undergraduate woman student entering fourth year in the Civil Engineering Program in the Faculty of Engineering. The student must have demonstrated involvement in extra-curricular or volunteer activities, either on campus or in the community. Applicants must submit a letter (maximum 250 words) detailing their involvement, such as: participation in student teams, mentoring, volunteerism at school and/or the community. Preference is given to a student who has a minimum 6.0 GPA. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Department of Civil Engineering.",1,"Woman, extracurricular/volunteer activities",Engineering,Woman,4,Not specified,Not specified,Not specified,Not specified,6,1000,FALSE,FALSE
Faculty Association Memorial Award,In-Course,TRUE,"One or more awards, of a minimum of $3,000 each, are given to entering, continuing or transferring undergraduate students who are the children or spouses of deceased Faculty who were active members of the Faculty Association within ten years of their death. Preference will be given in the following order: Students who have demonstrated financial need Children who are 26 years or under as of December 31st in the year they are applying",Varies,"Children/spouses of deceased Faculty Association members, financial need, age 26 or under",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,3000,FALSE,FALSE
"Faculty of Engineering Equity, Diversity and Inclusion Leadership Award",In-Course,TRUE,"One award of $1,000 is given to a transferring or continuing undergraduate student from an underrepresented group (including, but not limited to, women, Black, Indigenous or a Person of Colour, different abilities, LGBTQ+) entering second year in one of the following departments in the Faculty of Engineering: Biomedical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering or Mechanical Engineering. Applicants must submit a letter (maximum 500 words) describing the importance of Equity, Diversity and Inclusion to the Engineering profession, its impact on them personally and the leadership role they have played (or would like to play) to make a difference. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Engineering.",1,"Underrepresented group (women, BIPOC, LGBTQ+, different abilities), leadership",Engineering,Not specified,2,Not specified,Indigenous,Black/Person of Colour,Not specified,Not specified,1000,FALSE,FALSE
Fanny Williams Huu-ay-aht First Nation Scholarship,In-Course,TRUE,"A scholarship of $1,000 is awarded to an entering, continuing or transferring Indigenous undergraduate or graduate student from the Huu-ay-aht First Nation. The student must have demonstrated community involvement and must submit a letter of reference (maximum 400 words) outlining their leadership skills in one or more of the following areas: community involvement, leadership, academic performance, athletics, innovation, and creativity. Community can include schools, neighbourhoods, teams, and/or Nations. In the event that a member of the Huu-ay-aht First Nation does not apply for the scholarship, it will be awarded to an undergraduate or graduate student from one of the Nuu-chah-nulth nations with connections to the Huu-ay-aht First Nation. Undergraduate students can apply via the online application by May 31 and graduate students can submit their reference letter by June 15 to the Office of Indigenous Academic and Community Engagement (IACE). Upon the recommendation of the Executive Director IACE, an undergraduate student recipient will be approved by Senate Committee on Awards, or by the Faculty of Graduate Studies Graduate Awards Committee for a graduate student.",1,"Huu-ay-aht First Nation (or Nuu-chah-nulth nations), community involvement, leadership",Not specified,Not specified,Not specified,Not specified,Indigenous,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Finlayson Award*,In-Course,TRUE,One or more awards are given to undergraduate students entering second or third year in the Department of Theatre who show outstanding ability in the area of technical theatre and who are continuing studies in the department. Preference will be given to students with demonstrated financial need. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Department of Theatre.,Varies,"Outstanding ability in technical theatre, financial need",Theatre,Not specified,02-Mar,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Frank Hori Foundation Scholarship,In-Course,TRUE,"Two scholarships of $5,000 each are awarded to one woman and one man academically outstanding undergraduate or graduate student of Japanese ancestry entering or continuing at the University of Victoria. Entering undergraduate students can be from a secondary school in Canada or transferring from any Canadian college. Applicants must show evidence of financial need. Undergraduate students must apply online. Graduate students must submit an application form to the Dean's Office, Faculty of Graduate Studies, by May 31st.",2,"Japanese ancestry, financial need",Not specified,"One woman, one man",Not specified,Not specified,Not specified,Japanese,Not specified,Not specified,5000,FALSE,FALSE
F. W. Benton Memorial Award*,In-Course,TRUE,One or more awards are given to undergraduate students in the Faculty of Science who have a special interest in salmonids or marine environmental studies. This award is to assist with the cost of attending the Bamfield Marine Sciences Centre for the purpose of research or course work. Approval of the recipient(s) is made by the Senate Committee on Awards upon the recommendation of the Faculty of Science.,Varies,Interest in salmonids or marine environmental studies,Science,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
George Jennings Burnett Memorial Award*,In-Course,TRUE,One or more awards are given to students specializing in organ or composition in the Bachelor of Music program. Preference will be given to students with demonstrated financial need. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the School of Music.,Varies,"Organ or composition specialization, financial need",Music,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Gilbert and Marie Alice Peart Award in English Literature*,In-Course,TRUE,One or more awards are given to undergraduate students studying English Literature in the Department of English who demonstrate financial need.,Varies,Financial need,English,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Gladys Nipp and Stephen Mah Family Award*,In-Course,TRUE,"One or more awards are given to undergraduate or graduate students in any discipline who are utilizing and/or enhancing the UVic Libraries' Chinese Canadian collections for the purposes of research, outreach initiatives (including both physical and/or digital exhibitions), or oral history projects. Applicants must submit a proposal (maximum 500 words) demonstrating how the collections will assist in their work. Applications are due to the University Librarian's office by April 15. Approval of the recipients will be made by either the Senate Committee on Awards for undergraduate students, or the Faculty of Graduate Studies Graduate Awards Committee for graduate students, upon the recommendation of the University Librarian.",Varies,Utilizing/enhancing UVic Libraries' Chinese Canadian collections,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Hannah Madgen Memorial Scholarship*,In-Course,TRUE,A scholarship is awarded to an academically outstanding undergraduate student who is enthusiastically pursuing a Major or Honours program in the Department of Greek and Roman Studies. Preference will be given to a student with financial need. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Department of Greek and Roman Studies.,1,Financial need,Greek and Roman Studies,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Harold G. Craven Scholarship*,In-Course,TRUE,"One or more scholarships of not less than $1,000 are awarded to academically outstanding undergraduate fourth year students in the Department of Economics or the Peter B. Gustavson School of Business who intend to pursue a career as a Chartered Accountant. Scholarships may be awarded to graduating students. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Department of Economics or the Peter B. Gustavson School of Business.",Varies,Intention to pursue career as Chartered Accountant,Economics/Business,Not specified,4,Not specified,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
H.D. Sauvan Award*,In-Course,TRUE,"One or more awards are given to undergraduate students entering their final year of a UVic teacher education program (B.Ed. or Post-Degree stream) and who are pursuing French Immersion teaching careers. The student must have demonstrated excellent teaching performance and a commitment to improving their French-speaking skills through, but not limited to, field schools, professional development, practicum placements, completing Diplôme d'études en langue française (DELF) requirements, etc. as documented in practica reports or coursework. Preference is for students with demonstrated financial need. Approval of the recipient(s) will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Education",Varies,"Pursuing French Immersion teaching career, financial need",Education,Not specified,Final year,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Hector and Carol McDonald Scholarship*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding undergraduate students from Prince Rupert who are transferring to or continuing at UVic.,Varies,From Prince Rupert,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Helen Rodney Memorial Scholarship*,In-Course,TRUE,A scholarship is awarded to a student who has graduated from the University of Victoria and who is proceeding to a graduate program in Library Science or a related discipline. This award is tenable at a Canadian university. Candidates must provide written evidence of their acceptance to an approved program.,1,Proceeding to graduate program in Library Science or related discipline,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Herta Hartmanshenn Award in Music*,In-Course,TRUE,One or more awards are given to undergraduate students entering or continuing in the School of Music. Preference will be given to students with demonstrated financial need. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the School of Music.,Varies,Financial need,Music,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Hoelscher Family Award,In-Course,TRUE,An award is given to an entering or continuing undergraduate student in the Peter B. Gustavson School of Business who demonstrates financial need. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Peter B. Gustavson School of Business.,1,Financial need,Business,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Holly Tuokko Undergraduate Research Scholarship,In-Course,TRUE,One or more scholarships are awarded to academically outstanding undergraduate students whose research interest of study is focused on health and aging. Selection of the recipient will be based on a statement that explains the intent and impact of their research (max 500 words) and a letter of support from a Faculty member supervising their research. Approval of the recipient(s) will be made by the Senate Committee on Awards upon the recommendation of the Institute on Aging and Lifelong Health.,Varies,Research focused on health and aging,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Howard and Donna Denike Memorial Award*,In-Course,TRUE,"One or more awards are given to students entering second, third or fourth year of the Bachelor of Music program. Preference is for students with demonstrated financial need. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the School of Music.",Varies,Financial need,Music,Not specified,02/03/2004,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Ida Halpern Music Scholarship*,In-Course,TRUE,A scholarship is awarded to a student entering third or fourth year of study towards the Bachelor of Music degree. Preference will be given to a student with an interest in first nations music of the West Coast. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the School of Music.,1,Interest in first nations music of the West Coast,Music,Not specified,03-Apr,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
International Student Support Award,In-Course,TRUE,"One or more awards, of at least $1,000 each, are given to entering or continuing international undergraduate students who have demonstrated financial need. Part-time students (minimum of 6.0 units) are eligible.",Varies,Financial need,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,International,Not specified,1000,FALSE,FALSE
Iranian Student Undergraduate Memorial Scholarship*,In-Course,TRUE,One scholarship of at least $500 is awarded to an academically outstanding undergraduate student who is either an Iranian citizen or has Iranian ancestry and is a permanent resident or citizen of Canada.,1,Iranian citizenship or ancestry,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Iranian/Canadian,Not specified,500,FALSE,FALSE
Jack Howard Jackson Memorial Award,In-Course,TRUE,"One or more awards are given to entering, continuing or transferring undergraduate Indigenous students with Canadian citizenship who have demonstrated financial need and who are enrolled in any of the following: the Faculty of Science, Faculty of Engineering and Computer Science, School of Nursing, School of Health Information Science or the Department of Psychology.",Varies,"Indigenous, Canadian citizenship, financial need",Science/Engineering/Nursing/Health Information Science/Psychology,Not specified,Not specified,Not specified,Indigenous,Not specified,Canadian,Not specified,Varies,FALSE,FALSE
J. Prospero Scholarship for Sustainable Mining,In-Course,TRUE,"A scholarship of $1,000 is awarded to an academically outstanding woman undergraduate student entering third or fourth year in either the Department of Economics, School of Environmental Studies, the Department of Geography, the Department of Anthropology, or the Department of Political Science. Preference is for students whose academic research (Honours Thesis/JCURA under the guidance of a faculty member) could have application to the improvement of the environmental and social performance of the mining industry. Further preference is given to Indigenous women students and people of colour. Applications must be submitted to the Dean of Social Sciences office by April 30th. Approval of the recipients will be made by the Senate Committee on Awards based on the recommendation of the Faculty of Social Sciences.",1,"Woman, academic research related to mining industry, Indigenous/people of colour",Economics/Environmental Studies/Geography/Anthropology/Political Science,Woman,03-Apr,Not specified,Indigenous,Person of colour,Not specified,Not specified,1000,FALSE,FALSE
Jennifer Davison Undergraduate Scholarship in Russian Studies,In-Course,TRUE,"One or more scholarships of at least $1,000 each are awarded to academically outstanding undergraduate student(s) in Russian Studies. Students must submit a description of their active participation in a university or community club promoting Russian culture. Approval of the recipient(s) will be made by the Senate Committee on Awards upon the recommendation of the Department of Germanic and Slavic Studies.",Varies,Active participation in club promoting Russian culture,Russian Studies,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Jeremy Robert Davison Scholarship*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding undergraduate students who are transferring or continuing at the University of Victoria and who have demonstrated financial need.,Varies,Financial need,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Jesse Short-Gershman Memorial Scholarship*,In-Course,TRUE,"One scholarship of at least $1,000 is awarded to an undergraduate student in the Department of Computer Science and one scholarship of at least $1,000 is awarded to an undergraduate student in the Department of Mathematics & Statistics who submit a one-page essay indicating a mental health challenge they faced/are facing and what they learned/are learning through the experience. The essay should address activities that the student has participated in, such as: leadership, tutoring, peer mentoring, advocacy or self-care, which demonstrate how they have worked/are working on overcoming these challenges. Students with a GPA of 6.0 or higher will normally be considered. Selection of the recipients will be made by the Senate Committee on Awards. If one recipient from each Department is not possible in a given year, then two recipients from one Department may be selected.",2,"Mental health challenges, GPA of 6.0 or higher",Computer Science/Mathematics & Statistics,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,6,1000,FALSE,FALSE
John Carling Fraser Memorial Scholarship*,In-Course,TRUE,"Two scholarships are awarded to 3rd or 4th year students in the Faculty of Science, with a declared major in Biology, Microbiology or Biochemistry. Preference will be given to students who are active in student politics and/or volunteer work with youth groups in the community, especially Scouts Canada. Students should submit a letter or resume as part of their application in which they describe their contributions to such volunteer/youth organizations. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Faculty of Science.",2,Active in student politics/volunteer work with youth groups,Biology/Microbiology/Biochemistry,Not specified,03-Apr,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
John Dobereiner Award*,In-Course,TRUE,One or more awards are given to undergraduate students in the Faculty of Fine Arts who demonstrate financial need.,Varies,Financial need,Fine Arts,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
John H. Rennie Scholarship in Business*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding undergraduate students continuing in the Bachelor of Commerce program who have demonstrated financial need. Graduating students and part-time students (registered in a minimum of 6.0 units for credit in two terms) are eligible. Approval of the recipient(s) is made by the Senate Committee on Awards upon the recommendation of the Peter B. Gustavson School of Business.,Varies,Financial need,Business,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
John Michael Brownutt Scholarship*,In-Course,TRUE,"One or more scholarships are awarded to academically outstanding undergraduate Aboriginal (First Nation Status, Non-Status, Inuit or Métis) students at the University of Victoria. Students must have demonstrated community involvement. Applications may be made on-line through Student Awards & Financial Aid.",Varies,"Aboriginal, community involvement",Not specified,Not specified,Not specified,Not specified,Indigenous,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
John Patrick McManaman CPA Memorial Award*,In-Course,TRUE,"One or more awards of at least $2,000 each are given to undergraduate students in third or fourth year of study at the Peter B. Gustavson School of Business who are interested in pursuing the CPA designation and are Canadian citizens. Preference is for students who meet one or more of the following criteria, in order of priority:1. Graduated from a high school in B.C.2. Currently active, or active within the last five years, in community sport and/or community service 3. Has demonstrated financial needStudents with a minimum GPA of 3.0 and graduating students are eligible. Approval of the recipient will be made by the Senate Committee on Awards upon the recommendation of the Peter B. Gustavson School of Business.",Varies,"Interest in pursuing CPA designation, Canadian citizen, graduated from BC high school, active in community sport/service, financial need",Business,Not specified,03-Apr,Not specified,Not specified,Not specified,Canadian,3,2000,FALSE,FALSE
Joseph Patrick Cunningham Memorial Scholarship*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding undergraduate students entering third or fourth year in the Bachelor of Music program who have demonstrated financial need. Preference is given to students whose principal instrument is either the harp or violin. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the School of Music.,Varies,"Financial need, principal instrument harp or violin",Music,Not specified,03-Apr,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Joyce Bewley Undergraduate Award,In-Course,TRUE,"One or more awards are given to undergraduate students in the School of Social Work who have demonstrated financial need and have demonstrated resilience to overcome personal challenges. Preference is for students who meet one or more of these criteria, in the following order of priority:1. are mature students (aged 30 and over) or2. are single parents or have family responsibilities or3. have indicated interest in a social work career in community activation, mental health, family law or dealing with family violence. Applicants must submit a personal statement (max 500 words) describing how they have demonstrated resilience to overcome personal challenges. Approval of the recipients will be made by the Senae Committee on Awards upon the recommendation of the School of Social Work.",Varies,"Financial need, resilience to overcome personal challenges, mature students/single parents/family responsibilities/interest in specific social work careers",Social Work,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Joyce Clearihue Scholarship in Forest Biology*,In-Course,TRUE,"One or more scholarships are awarded to academically outstanding students in 3rd or 4th year of a major or honours program in the department of Biology who have a special interest in Forest Biology. Applicants should submit a 300 word statement that describes their academic program, experience, or interest in Forest Biology. Approval of the recipients will be made by the Senate Committee on Awards upon the recommendation of the Department of Biology.",Varies,Special interest in Forest Biology,Biology,Not specified,03-Apr,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Joyce Clearihue Undergraduate Co-op Scholarship*,In-Course,TRUE,One or more scholarships are awarded to undergraduate students who completed a co-op term that involved the restoration and preservation of forests. Eligible students will have completed the work term in the academic year (May to April) prior to the disbursement of the scholarship. Preference will be given to students with demonstrated financial need. Nominations will be made by the Office of the Director Co-operative Education and Careers Service.,Varies,"Completed co-op term involving restoration/preservation of forests, financial need",Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Kedar Shrikhande Memorial Scholarship for Students with a Disability*,In-Course,TRUE,"One or more scholarships of a minimum of $1,000 each are awarded to academically outstanding students with a physical disability or learning disability. Preference will be given to students in the Faculty of Engineering.",Varies,Physical/learning disability,Engineering,Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
Kim and Welch Theatre Student Scholarship*,In-Course,TRUE,"One or more scholarships are awarded to academically outstanding undergraduate students continuing or transferring into the Department of Theatre who are Canadian citizens and have demonstrated financial need. Preference is for students who are first in their immediate family to attend a post-secondary institution. For the purpose of this scholarship, immediate family is defined as parent(s) and grandparent(s). Approval of the recipient(s) will be made by the Senate Committee on Awards upon recommendation of the Department of Theatre.",Varies,"Financial need, first in family to attend post-secondary",Theatre,Not specified,Not specified,Not specified,Not specified,Not specified,Canadian,Not specified,Varies,FALSE,FALSE
KiraGood Scholarship,In-Course,TRUE,"A scholarship is awarded to an academically outstanding undergraduate woman student who has done capacity-building volunteer work with a focus on: social development, social relations, peacekeeping, international relations, leadership training, community health, and/or community health linked to environmental stewardship, either in Canada or internationally. Selection of the recipient will be made by the Senate Committee on Awards. Applicants must submit the following: A letter of reference from an employer or volunteer coordinator (who is not related to the applicant) that demonstrates the applicant's communication skills, personal endurance and perseverance, and their passion for multicultural learning and engagement An essay (maximum 1,000 words) describing what actions the applicant is personally committed to, for example: ""In the arena of .......... I will commit to ..............."" it could be working in the global South, undertaking research, leading a mission, serving on a board of directors, etc.",1,"Woman, capacity-building volunteer work",Not specified,Woman,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Knowledge First Foundation Scholarship*,In-Course,TRUE,"One or more scholarships, of up to $1,000 each, are awarded to academically outstanding undergraduate students. Preference will be given to students who demonstrate outstanding contributions to their community. Students must submit a one-page statement outlining their volunteer and/or community involvement.",Varies,Outstanding community contributions,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,Not specified,1000,FALSE,FALSE
L. and G. Butler Scholarship for Students with a Disability*,In-Course,TRUE,One or more scholarships are awarded to academically outstanding entering or continuing undergraduate students with a physical disability who graduated from a Canadian secondary school or attended a university or college in BC prior to attending UVic.,Varies,Physical disability,Not specified,Not specified,Not specified,Yes,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Lambert Joseph Schill Award*,In-Course,TRUE,One or more awards are given to undergraduate students who are entering second year in the Department of Mechanical Engineering. Preference will be given to students with demonstrated financial need.,Varies,Financial need,Engineering,Not specified,2,Not specified,Not specified,Not specified,Not specified,Not specified,Varies,FALSE,FALSE
Langford-Seaborne Award for Indigenous Students in Humanities*,In-Course,TRUE,"One or more awards are given to undergraduate Indigenous students entering second or third year in the Faculty of Humanities who have a minimum 4.0 GPA and also have demonstrated financial need. Part-time students (minimum 6.0 units) are eligible. Preference is for students from Vancouver Island and the Southern Gulf Islands (Gabriola, Galiano, Mayne, Moresby, Pender, Penelakut, Prevost, Salt Spring, Saturna, Sidney, Thetis and Valdes). To be automatically renewed a student must have completed a minimum of 6.0 or more graded units in any two terms of study between May and April and maintained a GPA of 4.0/9.0 or higher. Should a student take more than 6.0 units over the two terms, all units will be assessed for renewal purposes. The award is automatically renewed for a maximum of two years of the students' study in the Faculty of Humanities. Students registered in a co-op or work experience work term will automatically be renewed when they next complete 6.0 or more graded units in two terms, provided they have maintained a GPA of a minimum of 4.0. Any student who takes neither a co-op, work experience work term, nor academic units for more than one term may forfeit their award.",Varies,"Financial need, from Vancouver Island/Southern Gulf Islands",Humanities,Not specified,02-Mar,Not specified,Indigenous,Not specified,Not specified,4,Varies,FALSE,FALSE
Langford-Seaborne Award for Indigenous Students in Social Sciences*,In-Course,TRUE,"One or more awards are given to undergraduate Indigenous students entering second or third year in the Faculty of Social Sciences who have a minimum 4.0 GPA and also have demonstrated financial need. Part-time students (minimum 6.0 units) are eligible. Preference is for students from Vancouver Island and the Southern Gulf Islands (Gabriola, Galiano, Mayne, Moresby, Pender, Penelakut, Prevost, Salt Spring, Saturna, Sidney, Thetis and Valdes). To be automatically renewed a student must have completed a minimum of 6.0 or more graded units in any two terms of study between May and April and maintained a GPA of 4.0/9.0 or higher. Should a student take more than 6.0 units over the two terms, all units will be assessed for renewal purposes. The award is automatically renewed for a maximum of two years of the students' study in the Faculty of Social Sciences. Students registered in a co-op or work experience work term will automatically be renewed when they next complete 6.0 or more graded units in two terms, provided they have maintained a GPA of a minimum of 4.0. Any student who takes neither a co-op, work experience work term, nor academic units for more than one term may forfeit their award.",Varies,"Financial need, from Vancouver Island/Southern Gulf Islands",Social Sciences,Not specified,02-Mar,Not specified,Indigenous,Not specified,Not specified,4,Varies,FALSE,FALSE
Leeder Family Memorial Scholarship in Economics*,In-Course,TRUE,"One or more scholarships are awarded to academically outstanding full-time undergraduate students entering third or fourth year in the Department of Economics with demonstrated financial need. Preference will be given to students who are from outside the Greater Victoria or Metro Vancouver Regional District areas. Scholarships will be approximately one-half of a student's full-time (minimum 12 units) Winter Session tuition and fees. If awarded to a third year student, the scholarship may be renewed for the recipient's fourth year of full-time studies in the Department of Economics. To be automatically renewed a student must have completed a total of 12 or more academic units in two terms of study between May and April in the previous academic year and maintained a grade point average of 7.50/9.00 or higher on the best 12 units. A student whose grade point average falls below 7.50/9.00 may file a written appeal with the Senate Committee on Awards to seek special consideration for the renewal of the scholarship.Students registered in co-op or work experience work-term will automatically be renewed when they next complete 12 or more academic units in two terms, provided they have a grade point average of 7.50/9.00 or higher in the two terms. Any student who takes neither a co-op, work experience/work-term, nor academic units for more than one term may forfeit their scholarship.",Varies,"Financial need, from outside Greater Victoria/Metro Vancouver",Economics,Not specified,03-Apr,Not specified,Not specified,Not specified,Not specified,7.5,Varies,FALSE,FALSE
